index	searchurl	r_link	r_description	r_title	r_image	r_price	r_seller	specs	sku	s_itemname	s_mpn	brand	s_manufacturer	cost	gpm	floorprice	s_price	shipping	saleprice	s_category	s_product_url	s_image_url	map_enforced	map	s_gtin	s_upc	s_asin	s_variant_info	search_key	keywords	clientid	client	encoded_keyword	sku_id	freq	price_lower	price_upper	l3.1	NameMatchScore	l2.1	l4.1	l5.1	l6.1	l2.2	l4.2	l5.2	l6.2	l7	score	id
3	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=096644032491	https://www.amazon.com/gp/offer-listing/B0013VC2NI/ref=olp_f_new?ie=UTF8&f_new=true		"Classic Crest Super Smooth Solar White 80# Cover 8.5""x11"" 250/pack"	https://images-na.ssl-images-amazon.com/images/I/51jjqGq3OuL._AC_US218_.jpg	$ 36 50	Classic Crest	https://www.amazon.com/gp/offer-listing/B0013VC2NI/ref=olp_f_new?ie=UTF8&f_new=true	3-03249-F-P	CLASSIC CREST Solar White Card Stock - 8 1/2 x 11 in 80 lb Cover Super Smooth 250 per Package				14.31		28.376	35.47				https://www.thepapermillstore.com/classic-crest-solar-white-card-stock-8-1-2-x-11-in-80-lb-cover-super-smooth-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/l/classic-crest-solar-white-card-stock-super-smooth.jpg			00096644032491	096644032491			UPC	096644032491	0	TPMS	096644032491	3	1	36.50	nan	0	0.4933038151102515	0	0	0	0	0	0	0	0	0	0	1
4	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=096644038196	https://www.amazon.com/gp/offer-listing/B000I4PX14/ref=olp_f_new?ie=UTF8&f_new=true		"Classic Crest Natural White 80# Cover 8.5""x11"" 250/pack"	https://images-na.ssl-images-amazon.com/images/I/41kUt-RF5BL._AC_US218_.jpg	$ 39 00	Classic Crest	https://www.amazon.com/gp/offer-listing/B000I4PX14/ref=olp_f_new?ie=UTF8&f_new=true	3-03819-F-P	CLASSIC CREST Classic Natural White Card Stock - 8 1/2 x 11 in 80 lb Cover Smooth 250 per Package				13.81		27.576	34.47				https://www.thepapermillstore.com/classic-crest-classic-natural-white-card-stock-8-1-2-x-11-in-80-lb-cover-smooth-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/l/classic-crest-classic-natural-white-card-stock-smooth.jpg			00096644038196	096644038196			UPC	096644038196	0	TPMS	096644038196	4	1	39.00	nan	0	0.4495718844661228	0	0	0	0	0	0	0	0	0	0	2
5	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=096644047013	https://www.amazon.com/gp/offer-listing/B000I20NWK/ref=olp_f_new?ie=UTF8&f_new=true		"Classic Crest Solar White 80# Cover 8.5""x11"" 250/pack"	https://images-na.ssl-images-amazon.com/images/I/41kUt-RF5BL._AC_US218_.jpg	$ 42 00	Classic Crest	https://www.amazon.com/gp/offer-listing/B000I20NWK/ref=olp_f_new?ie=UTF8&f_new=true	3-04701-F-P	CLASSIC CREST Solar White Card Stock - 8 1/2 x 11 in 80 lb Cover Smooth 250 per Package				14.31		28.376	35.47				https://www.thepapermillstore.com/classic-crest-solar-white-card-stock-8-1-2-x-11-in-80-lb-cover-smooth-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/l/classic-crest-solar-white-card-stock-smooth.jpg			00096644047013	096644047013			UPC	096644047013	0	TPMS	096644047013	5	1	42.00	nan	0	0.4222331473157364	0	0	0	0	0	0	0	0	0	0	3
35	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000357	https://www.amazon.com/gp/offer-listing/B003152DTW/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk Color Copy 98 Paper Smooth Finish 98-bright, 28 lb, 8.5 x 11 Inch, 500 Sheets/Ream - Sold as 1 Ream, Bright White Shade (12-203)	https://images-na.ssl-images-amazon.com/images/I/61Fdz6jtDsL._AC_US218_.jpg	$ 11 23	Mohawk Home	https://www.amazon.com/Mohawk-Smooth-Finish-98-bright-Sheets/dp/B003152DTW/ref=olp_f_new?ie=UTF8&f_new=true	3-12-203-P	Color Copy 98 Bright White Paper - 8 1/2 x 11 in 28 lb Writing 500 per Ream				6.86		16.776	20.97				https://www.thepapermillstore.com/color-copy-98-bright-white-paper-8-1-2-x-11-in-28-lb-writing-500-per-ream.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000357	843855000357			UPC	843855000357	0	TPMS	843855000357	35	1	11.23	nan	0	0.6136542225918659	0	0	0	0	0	0	0	0	0	0	4
79	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000357	https://www.amazon.com/gp/offer-listing/B00BT2LX36/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk High Performance Color Copy Paper	https://images-na.ssl-images-amazon.com/images/I/61snAqAMfSL._AC_US218_.jpg	$ 24 34	Mohawk Home	https://www.amazon.com/gp/offer-listing/B00BT2LX36/ref=olp_f_new?ie=UTF8&f_new=true	3-12-203-P	Color Copy 98 Bright White Paper - 8 1/2 x 11 in 28 lb Writing 500 per Ream				6.86		16.776	20.97				https://www.thepapermillstore.com/color-copy-98-bright-white-paper-8-1-2-x-11-in-28-lb-writing-500-per-ream.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000357	843855000357			UPC	843855000357	0	TPMS	843855000357	35	1	24.34	nan	0	0.18750311496760091	0	0	0	0	0	0	0	0	0	0	5
60	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000357	https://www.amazon.com/gp/offer-listing/B00BCMZARI/ref=olp_f_new?ie=UTF8&f_new=true		MOW12203 UNITED STATIONERS (OP) PAPER,COLOR CPY 98,BRW	https://images-na.ssl-images-amazon.com/images/I/51LDit5Rc+L._AC_US218_.jpg	$ 18 57	Unknown	https://www.amazon.com/MOW12203-UNITED-STATIONERS-PAPER-COLOR/dp/B00BCMZARI/ref=olp_f_new?ie=UTF8&f_new=true	3-12-203-P	Color Copy 98 Bright White Paper - 8 1/2 x 11 in 28 lb Writing 500 per Ream				6.86		16.776	20.97				https://www.thepapermillstore.com/color-copy-98-bright-white-paper-8-1-2-x-11-in-28-lb-writing-500-per-ream.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000357	843855000357			UPC	843855000357	0	TPMS	843855000357	35	1	18.57	nan	0	0.14535985300861148	0	0	0	0	0	0	0	0	0	0	6
80	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000579	https://www.amazon.com/gp/offer-listing/B00TBN8OF0/ref=olp_f_new?ie=UTF8&f_new=true		Copier 98 Cover, 80 lbs., 8-1/2 x 11, Bright White, 250 Sheets/Pack	https://images-na.ssl-images-amazon.com/images/I/41FoEWhkSwL._AC_US218_.jpg	$ 25 33	Reg	https://www.amazon.com/gp/offer-listing/B00TBN8OF0/ref=olp_f_new?ie=UTF8&f_new=true	3-12-214-P	Color Copy 98 Bright White Card Stock - 8 1/2 x 11 in 80 lb Cover 250 per Package				7.19		16.776	20.97				https://www.thepapermillstore.com/color-copy-98-bright-white-card-stock-8-1-2-x-11-in-80-lb-cover-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000579	843855000579			UPC	843855000579	0	TPMS	843855000579	36	1	25.33	nan	0	0.6059671415042285	0	0	0	0	0	0	0	0	0	0	7
61	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000579	https://www.amazon.com/gp/offer-listing/B00Q4KJM72/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk 12214 Copier 98 Cover, 80lb, 8-1/2 x 11, Bright White, 250 Sheets	https://images-na.ssl-images-amazon.com/images/I/61Cof07hZeL._AC_US218_.jpg	$ 21 44	MOT5	https://www.amazon.com/gp/offer-listing/B00Q4KJM72/ref=olp_f_new?ie=UTF8&f_new=true	3-12-214-P	Color Copy 98 Bright White Card Stock - 8 1/2 x 11 in 80 lb Cover 250 per Package				7.19		16.776	20.97				https://www.thepapermillstore.com/color-copy-98-bright-white-card-stock-8-1-2-x-11-in-80-lb-cover-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000579	843855000579			UPC	843855000579	0	TPMS	843855000579	36	1	21.44	nan	0	0.5751083760417057	0	0	0	0	0	0	0	0	0	0	8
36	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000579	https://www.amazon.com/gp/offer-listing/B0017KYN82/ref=olp_f_new?ie=UTF8&f_new=true		"Mohawk Copier 98 Cover, 80 lb, 8-1/2"" x 11"", Bright White, 250 Sheets/Pack (MOW12214)"	https://images-na.ssl-images-amazon.com/images/I/61Cof07hZeL._AC_US218_.jpg	$ 17 43	Mohawk Home	https://www.amazon.com/gp/offer-listing/B0017KYN82/ref=olp_f_new?ie=UTF8&f_new=true	3-12-214-P	Color Copy 98 Bright White Card Stock - 8 1/2 x 11 in 80 lb Cover 250 per Package				7.19		16.776	20.97				https://www.thepapermillstore.com/color-copy-98-bright-white-card-stock-8-1-2-x-11-in-80-lb-cover-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000579	843855000579			UPC	843855000579	0	TPMS	843855000579	36	1	17.43	nan	0	0.5485297816691115	0	0	0	0	0	0	0	0	0	0	9
62	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=843855000616	https://www.amazon.com/gp/offer-listing/B01NCW5ODT/ref=olp_f_new?ie=UTF8&f_new=true		Mohawk Copier 98 Cover, 80 lbs, 18 x 12, Bright White, 250 Sheets/Pack	https://images-na.ssl-images-amazon.com/images/I/61dsqYcokWL._AC_US218_.jpg	$ 43 36	Mohawk Home	https://www.amazon.com/gp/offer-listing/B01NCW5ODT/ref=olp_f_new?ie=UTF8&f_new=true	3-12-216-P	Color Copy 98 Bright White Card Stock - 18 x 12 in 80 lb Cover 250 per Package				16.12		33.576	41.97				https://www.thepapermillstore.com/color-copy-98-bright-white-card-stock-18-x-12-in-80-lb-cover-250-per-package.html	https://www.thepapermillstore.com/media/catalog/product/c/o/color-copy-98-bright-white-card-stock-b.jpg			00843855000616	843855000616			UPC	843855000616	0	TPMS	843855000616	37	1	43.36	nan	0	0.5301339932379163	0	0	0	0	0	0	0	0	0	0	10
